Project,Client,Title,Duration,Billable duration,Amount USD
CareerSearch,,LinkedIn,04:31:08,04:31:08,135.57
CareerSearch,,Profile,05:49:24,05:49:24,174.7
CareerSearch,,Profile: Cover Letter,00:13:20,00:13:20,6.67
CareerSearch,,Profile: Papers,00:09:07,00:09:07,4.56
CareerSearch,,Profile: Resume,00:15:35,00:15:35,7.79
CareerSearch,,Profile: Skills,00:15:51,00:15:51,7.93
CareerSearch,,Profile: Transcripts,00:09:41,00:09:41,4.84
CareerSearch,,,09:12:34,09:12:34,276.28
Church,,,10:19:05,00:00:00,0
Coursera,,,11:52:50,11:52:50,356.42
Exercise,,,19:26:47,00:00:00,0
OpenSource,,,24:35:58,24:35:58,737.98
ToastMasters,,,04:46:01,04:46:01,143.01
Volunteer,,,07:48:52,07:48:52,234.43
Work,,,03:22:41,03:22:41,101.34
