Client,Project,Duration,Billable duration
Dice,Career Profile,00:17:56,00:00:00
Dice,Job Apply,00:23:37,00:00:00
Functional Works,Career Profile,00:21:29,00:00:00
Functional Works,Job Apply,00:22:41,00:00:00
I Crunch Data,Career Profile,00:29:18,00:00:00
I Crunch Data,Job Apply,01:14:26,00:00:00
Indeed,Career Profile,00:24:17,00:00:00
Indeed,Job Apply,01:28:58,00:00:00
LinkedIn,Career Profile,01:15:47,00:00:00
LinkedIn,Job Apply,00:27:42,00:00:00
Monster,Career Profile,00:24:32,00:00:00
Monster,Job Apply,00:42:40,00:00:00
MTCIS,Career Profile,01:10:36,00:00:00
Resume-Library,Career Profile,00:30:02,00:00:00
Resume-Library,Job Apply,00:39:49,00:00:00
SOA,Career Profile,00:32:55,00:00:00
Tech Careers and Nexxt,Career Profile,00:21:49,00:00:00
Tech Careers and Nexxt,Job Apply,00:28:22,00:00:00
Volunteer Match,Career Profile,00:19:33,00:00:00
Zip Recruiter,Career Profile,01:03:59,00:00:00
Zip Recruiter,Job Apply,00:59:43,00:00:00
,Career Portfolio,06:14:10,00:00:00
,Church,04:30:00,00:00:00
,Coursera,08:50:13,00:00:00
,Exercise,24:16:53,00:00:00
,Exercism,08:12:17,00:00:00
,Job Apply,02:50:00,00:00:00
,OpenSource,02:17:10,00:00:00
