Project,Client,Title,Duration,Billable duration
Career Portfolio,,,06:28:05,00:00:00
Career Profile,,,01:15:00,00:00:00
Career Profile,Dice,,01:12:50,00:00:00
Career Profile,Functional Works,,00:41:50,00:00:00
Career Profile,I Crunch Data,,01:40:12,00:00:00
Career Profile,Indeed,,01:47:12,00:00:00
Career Profile,LinkedIn,,03:59:13,00:00:00
Career Profile,Monster,,02:53:39,00:00:00
Career Profile,MTCIS,,02:55:19,00:00:00
Career Profile,Resume-Library,,00:34:57,00:00:00
Career Profile,SOA,,00:58:45,00:00:00
Career Profile,Tech Careers and Nexxt,,01:35:14,00:00:00
Career Profile,Volunteer Match,,00:33:56,00:00:00
Career Profile,Zip Recruiter,,02:48:25,00:00:00
Church,,,06:15:03,00:00:00
Coursera,,,20:49:49,00:00:00
Exercise,,,36:13:30,00:00:00
Exercism,,,00:23:32,00:00:00
Health,,,02:00:00,00:00:00
Job Apply,,,01:55:41,00:00:00
Job Apply,Functional Works,Back End Scala Engineer Application,00:30:47,00:00:00
Job Apply,Functional Works,,00:02:42,00:00:00
Job Apply,Indeed,,02:13:10,00:00:00
Job Apply,LinkedIn,,00:27:57,00:00:00
Job Apply,Monster,,02:35:30,00:00:00
Job Apply,Resume-Library,,00:09:50,00:00:00
Job Apply,Tech Careers and Nexxt,,00:31:50,00:00:00
Job Apply,Zip Recruiter,,00:32:09,00:00:00
OpenSource,,,00:22:03,00:00:00
School Apply,,,00:55:16,00:00:00
School Apply,Montana State University,,01:53:41,00:00:00
