Project,Client,Description,Duration,Billable duration
Career Portfolio,,Called Career Transitions about Resume Review,00:03:25,00:00:00
Career Portfolio,,Career Transitions Application,00:06:13,00:00:00
Career Portfolio,,Resume Review from Career Transitions,00:06:50,00:00:00
Career Portfolio,,Submitted Career Transitions application again,00:03:13,00:00:00
Career Portfolio,,,06:30:11,00:00:00
Career Profile,,,01:19:56,00:00:00
Career Profile,Coursera,,00:06:04,00:00:00
Career Profile,Credly,,00:03:57,00:00:00
Career Profile,Dice,,00:08:22,00:00:00
Career Profile,Exercism,,00:04:32,00:00:00
Career Profile,Functional Works,,00:31:59,00:00:00
Career Profile,GitHub,,00:09:35,00:00:00
Career Profile,Glassdoor,,00:08:31,00:00:00
Career Profile,Indeed,,00:17:53,00:00:00
Career Profile,LinkedIn,,00:23:53,00:00:00
Career Profile,Monster,,00:25:10,00:00:00
Career Profile,MTCIS,,00:21:09,00:00:00
Career Profile,SOA,,00:14:11,00:00:00
Career Profile,Tech Careers and Nexxt,,00:01:10,00:00:00
Career Profile,Volunteer Match,Update Career Profile,00:06:55,00:00:00
Career Profile,Volunteer Match,,00:03:15,00:00:00
Career Profile,Zip Recruiter,,00:17:58,00:00:00
Church,,,19:25:39,00:00:00
Exercise,,,27:17:16,00:00:00
Health,,,02:00:00,00:00:00
Job Apply,,Algebra II test,01:32:15,00:00:00
Job Apply,,Find Math Tutor Jobs,01:00:08,00:00:00
Job Apply,,Job Apply,00:57:00,00:00:00
Job Apply,,Looked for Data Entry Jobs,00:41:17,00:00:00
Job Apply,,,05:19:44,00:00:00
Job Apply,LinkedIn,,01:02:30,00:00:00
Job Apply,Zip Recruiter,Created Superprof Ad,00:31:34,00:00:00
Lumosity,,,00:59:44,00:00:00
School Apply,,Galvanize,00:15:50,00:00:00
School Apply,,,03:41:47,00:00:00
School Apply,Montana State University,Finished CSU GPA of Last Two Years,00:16:18,00:00:00
School Apply,Montana State University,Looked at the personal statement questions.,00:10:33,00:00:00
School Apply,Montana State University,Uploaded Unofficial CSU Transcript,00:11:01,00:00:00
School Apply,Montana State University,,30:48:38,00:00:00
Volunteer,,,17:25:35,00:00:00
,,,01:21:15,00:00:00
