,Month,Project,Client,Duration,Billable duration
0,01,Church,,11.0,0.0
1,01,Exercise,,17.010833333333334,0.0
2,02,Church,,9.0,0.0
3,02,Exercise,,14.50611111111111,0.0
4,03,Career Portfolio,,0.3733333333333333,0.0
5,03,Church,,7.166666666666667,0.0
6,03,Exercise,,12.675555555555555,0.0
7,03,Exercism,,2.0283333333333333,0.0
8,04,Career Portfolio,,0.6675,0.0
9,04,Career Profile,,0.1822222222222222,0.0
10,04,Church,,8.25,0.0
11,04,Exercise,,17.05888888888889,0.0
12,04,Exercism,,1.4169444444444446,0.0
13,04,Job Apply,Dice,0.19916666666666666,0.0
14,04,Job Apply,Monster,0.46555555555555556,0.0
15,04,Job Apply,Zip Recruiter,0.3219444444444444,0.0
16,04,Job Apply,,0.6330555555555556,0.0
17,05,Church,,10.75,0.0
18,05,Exercise,,28.878055555555555,0.0
19,06,Career Portfolio,,6.236111111111112,0.0
20,06,Career Profile,Dice,0.29888888888888887,0.0
21,06,Career Profile,Functional Works,0.3580555555555555,0.0
22,06,Career Profile,I Crunch Data,0.48833333333333334,0.0
23,06,Career Profile,Indeed,0.40472222222222226,0.0
24,06,Career Profile,LinkedIn,1.2630555555555556,0.0
25,06,Career Profile,MTCIS,1.1766666666666667,0.0
26,06,Career Profile,Monster,0.4088888888888889,0.0
27,06,Career Profile,Resume-Library,0.5005555555555555,0.0
28,06,Career Profile,SOA,0.548611111111111,0.0
29,06,Career Profile,Tech Careers and Nexxt,0.3636111111111111,0.0
30,06,Career Profile,Volunteer Match,0.3258333333333333,0.0
31,06,Career Profile,Zip Recruiter,1.0663888888888888,0.0
32,06,Church,,4.5,0.0
33,06,Coursera,,8.836944444444445,0.0
34,06,Exercise,,24.281388888888888,0.0
35,06,Exercism,,8.204722222222221,0.0
36,06,Job Apply,Dice,0.3936111111111111,0.0
37,06,Job Apply,Functional Works,0.37805555555555553,0.0
38,06,Job Apply,I Crunch Data,1.2405555555555556,0.0
39,06,Job Apply,Indeed,1.482777777777778,0.0
40,06,Job Apply,LinkedIn,0.46166666666666667,0.0
41,06,Job Apply,Monster,0.711111111111111,0.0
42,06,Job Apply,Resume-Library,0.6636111111111112,0.0
43,06,Job Apply,Tech Careers and Nexxt,0.4727777777777778,0.0
44,06,Job Apply,Zip Recruiter,0.9952777777777777,0.0
45,06,Job Apply,,2.8333333333333335,0.0
46,06,OpenSource,,2.286111111111111,0.0
47,07,Career Portfolio,,6.468055555555556,0.0
48,07,Career Profile,Dice,1.2138888888888888,0.0
49,07,Career Profile,Functional Works,0.6972222222222222,0.0
50,07,Career Profile,I Crunch Data,1.67,0.0
51,07,Career Profile,Indeed,1.7866666666666666,0.0
52,07,Career Profile,LinkedIn,3.9869444444444446,0.0
53,07,Career Profile,MTCIS,2.9219444444444442,0.0
54,07,Career Profile,Monster,2.8941666666666666,0.0
55,07,Career Profile,Resume-Library,0.5825,0.0
56,07,Career Profile,SOA,0.9791666666666666,0.0
57,07,Career Profile,Tech Careers and Nexxt,1.5872222222222223,0.0
58,07,Career Profile,Volunteer Match,0.5655555555555556,0.0
59,07,Career Profile,Zip Recruiter,2.8069444444444445,0.0
60,07,Career Profile,,1.25,0.0
61,07,Church,,6.2508333333333335,0.0
62,07,Coursera,,20.830277777777777,0.0
63,07,Exercise,,36.225,0.0
64,07,Exercism,,0.3922222222222222,0.0
65,07,Health,,2.0,0.0
66,07,Job Apply,Functional Works,0.5580555555555556,0.0
67,07,Job Apply,Indeed,2.2194444444444446,0.0
68,07,Job Apply,LinkedIn,0.4658333333333333,0.0
69,07,Job Apply,Monster,2.591666666666667,0.0
70,07,Job Apply,Resume-Library,0.1638888888888889,0.0
71,07,Job Apply,Tech Careers and Nexxt,0.5305555555555554,0.0
72,07,Job Apply,Zip Recruiter,0.5358333333333333,0.0
73,07,Job Apply,,1.9280555555555554,0.0
74,07,OpenSource,,0.3675,0.0
75,07,School Apply,Montana State University,1.8947222222222222,0.0
76,07,School Apply,,0.9211111111111111,0.0
77,08,Career Portfolio,,2.0216666666666665,0.0
78,08,Career Profile,Dice,0.07527777777777778,0.0
