Project,Client,Description,Duration,Billable duration,Amount USD
Career Portfolio,,,03:42:32,00:00:00,0
Career Profile,,,01:01:10,00:00:00,0
Career Profile,Coursera,,00:04:55,00:00:00,0
Career Profile,Credly,,00:01:43,00:00:00,0
Career Profile,Dice,,00:06:22,00:00:00,0
Career Profile,Exercism,,00:06:10,00:00:00,0
Career Profile,Functional Works,,00:04:28,00:00:00,0
Career Profile,GitHub,,00:03:10,00:00:00,0
Career Profile,Glassdoor,,00:21:19,00:00:00,0
Career Profile,Indeed,,00:12:02,00:00:00,0
Career Profile,LinkedIn,,00:07:00,00:00:00,0
Career Profile,Monster,,00:13:11,00:00:00,0
Career Profile,SIAM,,00:03:35,00:00:00,0
Career Profile,Zip Recruiter,,00:15:59,00:00:00,0
Church,,,12:51:59,00:00:00,0
Coursera,,,03:23:58,00:00:00,0
Exercise,,,10:36:06,00:00:00,0
Health,,,01:00:00,00:00:00,0
Job Apply,,,00:27:27,00:00:00,0
School Apply,Montana State University,,00:55:06,00:00:00,0
Volunteer,Love INC,,03:37:59,00:00:00,0
Work,Montana State University,,01:45:59,00:00:00,0
Work,Tutor.com,,18:50:53,18:50:53,188.48
