Project,Client,Task,Duration,Billable duration,Amount USD
Career Portfolio,,Career Profiles,01:42:43,00:00:00,0
Career Portfolio,,Companies,00:16:50,00:00:00,0
Career Portfolio,,Documents,00:01:03,00:00:00,0
Career Portfolio,,Experience,00:11:00,00:00:00,0
Career Portfolio,,Jobs,00:30:49,00:00:00,0
Career Portfolio,,Notes,00:19:44,00:00:00,0
Career Portfolio,,References,00:17:42,00:00:00,0
Career Portfolio,,Schools and Fields,00:30:34,00:00:00,0
Career Portfolio,,Skills,00:14:36,00:00:00,0
Career Profile,Coursera,General Information,00:02:36,00:00:00,0
Career Profile,Credly,,00:02:40,00:00:00,0
Career Profile,Dice,Links,00:03:33,00:00:00,0
Career Profile,Exercism,Open Source Projects,00:02:56,00:00:00,0
Career Profile,Functional Works,Links,00:02:45,00:00:00,0
Career Profile,GitHub,,00:02:34,00:00:00,0
Career Profile,Glassdoor,Certifications,00:02:13,00:00:00,0
Career Profile,Glassdoor,Email Notifications,00:02:43,00:00:00,0
Career Profile,Glassdoor,Picture,00:01:27,00:00:00,0
Career Profile,Indeed,Achievements,00:02:18,00:00:00,0
Career Profile,Indeed,Experience,00:02:30,00:00:00,0
Career Profile,Indeed,Headline,00:02:39,00:00:00,0
Career Profile,LinkedIn,Links,00:02:08,00:00:00,0
Career Profile,LinkedIn,Preferences,00:03:29,00:00:00,0
Career Profile,LinkedIn,Skills,00:18:09,00:00:00,0
Career Profile,Monster,Accomplishments,00:01:50,00:00:00,0
Career Profile,Monster,Links,00:01:27,00:00:00,0
Career Profile,Monster,Papers,00:01:27,00:00:00,0
Career Profile,Zip Recruiter,Accomplishments,00:01:25,00:00:00,0
Career Profile,Zip Recruiter,Email Notifications,00:01:49,00:00:00,0
Career Profile,Zip Recruiter,Summary,00:03:16,00:00:00,0
Church,,Bible Study,10:46:05,00:00:00,0
Church,,Worship Service,04:36:33,00:00:00,0
Exercise,,Gym,14:23:35,00:00:00,0
School Apply,Montana State University,Meeting,01:30:00,00:00:00,0
Volunteer,Love INC,Data Science Help,00:54:12,00:00:00,0
Work,,Read Career Book,10:06:16,00:00:00,0
Work,Montana State University,Database Systems,06:18:32,00:00:00,0
Work,Montana State University,Machine Learning: Soft Computing,08:17:47,00:00:00,0
Work,Montana State University,Meeting,08:23:23,00:00:00,0
Work,Montana State University,Methods of Data Analysis I,09:11:24,00:00:00,0
Work,Montana State University,Numerical Linear Algebra,04:31:49,00:00:00,0
Work,Montana State University,,00:38:49,00:00:00,0
Work,Tutor.com,Tutor,02:00:40,02:00:40,20.11
,,,00:03:51,00:00:00,0
