Project,Client,Task,Duration,Billable duration
Career Portfolio,,Resume,02:07:27,00:00:00
Church,,Bible Study,01:13:37,00:00:00
Church,,Worship Service,07:43:46,00:00:00
Exercise,,Dance,01:00:00,00:00:00
Exercise,,Gym,12:53:22,00:00:00
Job Apply,,Meeting,02:28:13,00:00:00
Job Apply,,Meeting Prep,02:09:49,00:00:00
Work,Montana State University,Algorithms,76:44:42,00:00:00
Work,Montana State University,Experimental Design,26:35:18,00:00:00
Work,Montana State University,Methods of Data Analysis II,41:30:54,00:00:00
