,Month,Project,Client,Title,Duration,Billable duration,Amount USD
0,01,CareerSearch,,,08:32:21,08:32:21,256.18
1,01,Church,,,00:32:32,00:00:00,0.0
2,01,Exercise,,,05:27:39,00:00:00,0.0
3,01,Math 633,,,14:36:07,14:36:07,438.06
4,01,Peak,,,05:04:11,05:03:31,65.76
5,01,ToastMasters,,,05:02:00,05:02:00,151.0
0,02,CareerSearch,,,27:03:47,27:03:47,811.89
1,02,Church,,,07:36:48,00:00:00,0.0
2,02,Coursera,,,03:51:15,03:51:15,115.63
3,02,Exercise,,,16:50:42,00:00:00,0.0
4,02,Math 633,,,41:52:02,41:52:02,1256.02
5,02,Peak,,,22:08:49,22:08:49,287.91
6,02,ToastMasters,,,16:15:49,16:15:49,487.91
7,02,Work,,,04:22:17,00:00:00,0.0
0,03,CareerSearch,,,45:49:08,45:49:08,1374.57
1,03,Church,,,06:16:26,00:00:00,0.0
2,03,Exercise,,,16:56:28,00:00:00,0.0
3,03,Math 633,,,29:58:47,29:58:47,899.39
4,03,ToastMasters,,Quiz Master,00:03:44,00:03:44,1.87
5,03,ToastMasters,,,12:31:13,12:31:13,375.61
6,03,Volunteer,,,21:45:43,00:00:00,0.0
7,03,Work,,,14:26:19,14:18:03,429.03
0,04,CareerSearch,,,39:06:29,39:06:29,1173.24
1,04,Church,,,07:46:08,00:00:00,0.0
2,04,Exercise,,,21:44:53,00:00:00,0.0
3,04,Math 633,,,30:26:52,30:26:52,913.43
4,04,OpenSource,,,00:59:56,00:59:56,29.97
5,04,ToastMasters,,,14:26:09,14:26:09,433.08
6,04,Volunteer,,,16:15:31,00:00:00,0.0
7,04,Work,,,33:56:18,33:56:18,1018.15
0,05,CareerSearch,,Profile,08:24:12,08:24:12,252.1
1,05,CareerSearch,,,22:06:52,22:06:52,663.43
2,05,Church,,,06:02:41,00:00:00,0.0
3,05,Coursera,,,02:56:50,02:56:50,88.42
4,05,Exercise,,,17:45:16,01:04:22,32.18
5,05,Math 633,,,03:45:07,03:45:07,112.56
6,05,ToastMasters,,,09:57:35,09:57:35,298.79
7,05,Volunteer,,,20:44:53,00:00:00,0.0
8,05,Work,,,37:00:00,37:00:00,1110.0
0,06,CareerSearch,,LinkedIn,04:31:08,04:31:08,135.57
1,06,CareerSearch,,Profile,05:49:24,05:49:24,174.7
2,06,CareerSearch,,Profile: Cover Letter,00:13:20,00:13:20,6.67
3,06,CareerSearch,,Profile: Papers,00:09:07,00:09:07,4.56
4,06,CareerSearch,,Profile: Resume,00:15:35,00:15:35,7.79
5,06,CareerSearch,,Profile: Skills,00:15:51,00:15:51,7.93
6,06,CareerSearch,,Profile: Transcripts,00:09:41,00:09:41,4.84
7,06,CareerSearch,,,09:12:34,09:12:34,276.28
8,06,Church,,,10:19:05,00:00:00,0.0
9,06,Coursera,,,11:52:50,11:52:50,356.42
10,06,Exercise,,,19:26:47,00:00:00,0.0
11,06,OpenSource,,,24:35:58,24:35:58,737.98
12,06,ToastMasters,,,04:46:01,04:46:01,143.01
13,06,Volunteer,,,07:48:52,07:48:52,234.43
14,06,Work,,,03:22:41,03:22:41,101.34
0,07,CareerSearch,,,58:36:53,58:36:53,1758.44
1,07,Church,,,02:45:00,00:00:00,0.0
2,07,Exercise,,,19:24:45,00:00:00,0.0
3,07,OpenSource,,,81:09:48,81:09:48,2434.9
4,07,ToastMasters,,,04:40:54,04:40:54,140.45
5,07,Work,,,01:00:00,01:00:00,30.0
0,08,CareerSearch,,,22:31:46,22:31:46,675.88
1,08,Church,,,09:30:00,00:00:00,0.0
2,08,Exercise,,,11:08:56,00:00:00,0.0
3,08,OpenSource,,,116:50:24,116:50:24,3505.2
4,08,ToastMasters,,,02:00:00,02:00:00,60.0
5,08,Volunteer,,,05:35:00,05:35:00,167.5
6,08,Work,,,13:30:00,13:30:00,405.0
0,09,CareerSearch,,,22:04:14,22:04:14,662.12
1,09,Church,,,08:25:00,00:00:00,0.0
2,09,Exercise,,,10:02:54,00:00:00,0.0
3,09,ToastMasters,,,04:45:00,04:45:00,142.5
4,09,Volunteer,,,22:50:00,22:50:00,685.0
5,09,Work,,,15:59:25,15:59:25,479.71
0,10,CareerSearch,,,23:21:51,23:21:51,700.93
1,10,Church,,,18:45:00,00:00:00,0.0
2,10,Exercise,,,16:18:04,00:00:00,0.0
3,10,ToastMasters,,,03:45:00,03:45:00,112.5
4,10,Volunteer,,,34:26:10,34:26:10,1033.08
5,10,Work,,,03:00:49,03:00:49,90.41
0,11,CareerSearch,,,04:26:32,04:26:32,133.27
1,11,Church,,,09:25:00,00:00:00,0.0
2,11,Exercise,,,16:23:02,00:00:00,0.0
3,11,ToastMasters,,,02:58:58,02:58:58,89.48
4,11,Udemy,,,06:03:35,06:03:35,181.79
5,11,Volunteer,,,14:30:00,14:30:00,435.0
0,12,Church,,,08:20:00,00:00:00,0.0
1,12,Exercise,,,07:52:09,00:00:00,0.0
2,12,Udemy,,,05:33:13,05:33:13,166.61
3,12,Volunteer,,,24:24:54,24:24:54,732.45
